Time (seconds);Time (microseconds);Position X (m);Position Y (m);Speed (m/s);Steering angle (deg);Lane change
0;0;0.23;2.47;0.28421574229349744;1.5178932505094958;0
0;10010;0.23;2.47;0.28421574229349744;1.5178932505094958;0
0;20020;0.23;2.47;0.28421574229349744;1.5178932505094958;0
0;30030;0.23;2.47;0.28421574229349744;1.5178932505094958;0
0;40040;0.23;2.47;0.28421574229349744;1.5178932505094958;0
0;50050;0.23;2.47;0.28421574229349744;1.5178932505094958;0
0;60060;0.23;2.47;0.28421574229349744;1.5178932505094958;0
0;70070;0.23;2.47;0.28421574229349744;1.5178932505094958;0
0;80080;0.23;2.47;0.28421574229349744;1.5178932505094958;0
0;90090;0.23;2.47;0.28421574229349744;1.5178932505094958;0
0;100100;0.23;2.47;0.28421574229349744;1.5178932505094958;0
0;110110;0.23;2.47;0.28421574229349744;1.5178932505094958;0
0;120120;0.23;2.47;0.28421574229349744;1.5178932505094958;0
0;130130;0.23;2.47;0.28421574229349744;1.5178932505094958;0
0;140140;0.23;2.47;0.28421574229349744;1.5178932505094958;0
0;150150;0.23;2.47;0.28421574229349744;1.5178932505094958;0
0;160160;0.23;2.47;0.28421574229349744;1.5178932505094958;0
0;170170;0.23;2.47;0.28421574229349744;1.5178932505094958;0
0;180180;0.23;2.47;0.28421574229349744;1.5178932505094958;0
0;190190;0.23;2.47;0.28421574229349744;1.5178932505094958;0
0;200200;0.23;2.47;0.28421574229349744;1.5178932505094958;0
0;210210;0.23;2.47;0.3398382596748288;1.5035721295162463;0
0;220220;0.23;2.47;0.3954607770561601;1.4892510085229969;0
0;230230;0.23;2.47;0.45108329443749146;1.4749298875297474;0
0;240240;0.23;2.47;0.5067058118188228;1.4606087665364982;0
0;250250;0.23;2.47;0.5623283292001542;1.4462876455432487;0
0;260260;0.23;2.47;0.6179508465814855;1.4319665245499993;0
0;270270;0.23;2.47;0.6735733639628169;1.4176454035567498;0
0;280280;0.23001896741074326;2.470009483705372;0.7299305476091428;1.401842416252166;0
